AÑO,MES,Data perdida,Datos completos
2014,7,231,3189
2014,8,307,3633
2014,9,290,3587
2014,10,266,3470
2014,11,275,3337
2014,12,292,3538
2015,1,283,2980
2015,2,226,3355
2015,3,329,3667
2015,4,274,3472
2015,5,348,3706
2015,6,287,3312
2015,7,290,3771
2015,8,329,3775
2015,9,294,3841
2015,10,268,3708
2015,11,290,3434
2015,12,279,3654
2016,1,241,3081
2016,2,289,3569
2016,3,299,3648
2016,4,303,3689
2016,5,313,3624
2016,6,294,3436
2016,7,305,3661
2016,8,303,3953
2016,9,293,3802
2016,10,311,3931
2016,11,276,3632
2016,12,346,3504
2017,1,281,3197
2017,2,320,3544
2017,3,286,3628
2017,4,303,3347
2017,5,318,3732
2017,6,281,3449
2017,7,289,3603
2017,8,324,3896
2017,9,279,3765
2017,10,298,3592
2017,11,269,3427
2017,12,274,3503
2018,1,235,2947
2018,2,216,3237
2018,3,300,3312
2018,4,256,3366
2018,5,258,3505
2018,6,299,3290
2018,7,260,3327
2018,8,269,3594
2018,9,280,3443
2018,10,263,3520
2018,11,267,3254
2018,12,276,3384
2019,1,230,2912
2019,2,289,3128
2019,3,253,3150
2019,4,258,3152
2019,5,261,3468
2019,6,252,3260
2019,7,292,3694
2019,8,310,4095
2019,9,321,3977
2019,10,333,4031
2019,11,281,3612
2019,12,330,3906
2020,1,323,3421
2020,2,374,3695
2020,3,259,2393
2020,4,86,812
2020,5,166,1575
2020,6,182,2009
2020,7,182,1970
2020,8,199,2071
