BARRIO,Accidentes,Heridos,Daños,Muertos,cluster,LONGITUD,ALTITUD
aguasfrias,1.0921052631578947,0.8157894736842105,0.27631578947368424,0.0,0,-75.62632779628916,6.234375534155302
aldeapablovi,1.064102564102564,0.8333333333333334,0.23076923076923078,0.0,0,-75.5424182953012,6.288292448964338
alejandroechavarría,3.099099099099099,2.1681681681681684,0.924924924924925,0.006006006006006006,2,-75.54633373123934,6.237270714693721
alejandría,2.1683848797250858,0.6804123711340206,1.4879725085910653,0.0,0,-75.57063877474643,6.201358439308716
alfonsolópez,3.3105413105413106,2.324786324786325,0.9857549857549858,0.0,2,-75.57480804043976,6.2835717512833815
altamira,2.4824281150159746,1.5207667731629393,0.9616613418530351,0.0,0,-75.58201905394338,6.279208383208597
altavista,1.6157205240174672,0.9737991266375545,0.6419213973799127,0.0,0,-75.60720723582162,6.2242793058839725
altavistasectorcentral,1.3694267515923566,1.1146496815286624,0.25477707006369427,0.0,0,-75.62166855227443,6.221905368023023
altosdelpoblado,1.4471153846153846,0.7259615384615384,0.7163461538461539,0.004807692307692308,0,-75.55366945915947,6.2105286444911965
andalucía,1.5229885057471264,1.0747126436781609,0.4482758620689655,0.0,0,-75.55557815073207,6.298153568724076
antonionariño,1.446236559139785,1.10752688172043,0.33870967741935487,0.0,0,-75.62166969036431,6.257440211101487
aranjuez,1.7888446215139442,1.2868525896414342,0.50199203187251,0.0,0,-75.56180282380178,6.28070170337755
areadeexpansionaltavista,1.037037037037037,0.8148148148148148,0.2222222222222222,0.0,0,-75.61378874785714,6.221510543028215
areadeexpansionaltosdecalasanz,1.0,0.25,0.75,0.0,0,-75.60476832512501,6.270369653345
areadeexpansionbelenrincon,1.0,0.18181818181818182,0.8181818181818181,0.0,0,-75.60806853390909,6.21572579695
asomaderano.1,2.7125,1.25625,1.4500000000000002,0.00625,0,-75.56431146718434,6.2280694128231
asomaderano.2,2.106164383561644,0.7705479452054794,1.3356164383561644,0.0,0,-75.5621132736504,6.216838024347382
asomaderano.3,1.2452830188679245,0.5566037735849056,0.6886792452830188,0.0,0,-75.5587919317197,6.217111248897804
astorga,1.5679611650485437,0.5485436893203883,1.0194174757281553,0.0,0,-75.57293198430649,6.209458970527121
auc1,1.1538461538461537,1.0,0.15384615384615385,0.0,0,-75.63633951799999,6.27755368088
auc2,1.0,1.0,0.0,0.0,0,-75.648485516,6.18697512124
auresno.1,1.9828767123287672,1.5616438356164384,0.4212328767123288,0.0,0,-75.59385685976856,6.28592288777684
auresno.2,2.342948717948718,1.8397435897435896,0.5032051282051282,0.0,0,-75.5918371696662,6.288509395020315
b.cerroelvolador,1.3353658536585367,0.8475609756097561,0.4878048780487805,0.0,0,-75.5836846606895,6.264595431839178
barriocaicedo,2.966292134831461,1.8960674157303372,1.0674157303370786,0.0028089887640449437,2,-75.55415375440909,6.242495256066969
barriocolombia,3.657142857142857,1.5942857142857143,2.06,0.002857142857142857,2,-75.57392351883905,6.2269003015375155
barriocolón,12.229508196721314,4.863387978142076,7.352459016393442,0.01366120218579235,1,-75.5689519001852,6.242592591826153
barriocristóbal,1.210144927536232,0.6739130434782609,0.5362318840579711,0.0,0,-75.60947356231736,6.248027703774312
barriodejesús,1.6816326530612244,1.1510204081632653,0.5224489795918368,0.00816326530612245,0,-75.53626410313349,6.230602922577136
barriosdejesús,1.0,0.5,0.5,0.0,0,-75.532260575,6.22777580595
batallóngirardot,1.0,0.8333333333333334,0.16666666666666666,0.0,0,-75.54813925566667,6.2601349629083325
belalcázar,2.3474025974025974,1.2792207792207793,1.0681818181818181,0.0,0,-75.56615798367497,6.2963658452275935
belencito,1.267605633802817,0.9295774647887324,0.33802816901408445,0.0,0,-75.61840262959444,6.246492066800944
bellohorizonte,1.540084388185654,1.0337552742616034,0.5063291139240507,0.0,0,-75.58991027863561,6.282313662537178
belén,8.07103825136612,3.3961748633879782,4.666666666666667,0.00819672131147541,1,-75.59988352039439,6.231787284671124
berlin,2.915942028985507,1.9855072463768115,0.9246376811594202,0.005797101449275362,2,-75.55570018204175,6.284845662000179
berlín,1.1,0.85,0.25,0.0,0,-75.55580813427274,6.28497546925
bermejal-losalamos,1.4739884393063585,1.0635838150289016,0.4046242774566474,0.005780346820809248,0,-75.56534144540392,6.280806773240314
betania,1.1696428571428572,0.8571428571428572,0.31250000000000006,0.0,0,-75.62129225009161,6.244339239311451
blanquizal,1.131578947368421,0.7631578947368421,0.3684210526315789,0.0,0,-75.6051943435,6.2747686962773255
bolivariana,2.607361963190184,1.2300613496932515,1.3742331288343559,0.003067484662576687,0,-75.59030439090589,6.245809774505611
bombonáno.1,3.9916201117318435,1.835195530726257,2.1508379888268156,0.00558659217877095,2,-75.562720314655,6.243210963273366
bombonáno.2,1.7449392712550607,1.0728744939271255,0.6680161943319837,0.004048582995951417,0,-75.54505124396287,6.228541621777889
boqueron,1.0,1.0,0.0,0.0,0,-75.653774298,6.30405533732
bosquesdesanpablo,1.59375,0.8035714285714286,0.7901785714285714,0.0,0,-75.58123965645659,6.275380777836583
